"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 04894","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","14","3","2012","x","x","14.III.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 04895","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","7","2","2012","x","x","7.II.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 04896","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","19","4","2012","x","x","19.IV.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 04897","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","14","3","2012","x","x","14.III.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...","x","x","CEUFMS 06339","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","8","2","2012","x","x","8.II.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...","x","x","CEUFMS 06341","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","21","4","2012","x","x","21.IV.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...","x","x","CEUFMS 06342","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","5","12","2011","x","x","5.XII.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2016-12-05","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...","x","x","CEUFMS 06343","x","x","Blattidae","Blattidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","Blattidae","x","x","x","x","x","família","x","x","x","ICZN","x","x","x","x","Godoi, M. N.","x","x","1","6","2012","x","x","1.VI.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","atribuir número de tombo","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-BLA...",6,6,"CEUFMS 00530","x","x","x","x","x","Animalia","Arthropoda","Hexapoda","Insecta","Blattodea","x","x","x","x","x","x","x","x","x","x","ICZN","x","x","x","x","Mello, R.","x","x","12","7","2006","x","x","12.VII.2006","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Paranaíba","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
