"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de Remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","family","artificial:subfamily","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00001","x","Frasco 32",1,"x","x","Artibeus planirostris (Spix, 1823)","Artibeus planirostris","(Spix, 1823)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Stenodermatinae","Artibeus","x","planirostris","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","PEGORAR, M.; TOLEDO, M. R. S.; SOUZA, L. A.","x","x","14","11",1983,"x","x","14.XI.1983","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"x","peso (g): 44; antebraço (mm): 61,1","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00001","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00002","x","x",2,"x","x","Artibeus planirostris (Spix, 1823)","Artibeus planirostris","(Spix, 1823)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Stenodermatinae","Artibeus","x","planirostris","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","UETANABARO, M.","x","x","14","11",1983,"x","x","14.XI.1983","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)","não informado","x","peso (g): 19; antebraço (mm): 47","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00002","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00003","encontrado","x",3,"x","com crânio","Carollia perspicillata (Linnaeus, 1758)","Carollia perspicillata","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Carolliinae","Carollia","x","perspicillata","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","UETANABARO, M.","x","x","14","11",1983,"x","x","14.XI.1983","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","peso (g): 16; antebraço (mm): 40,7","x","x","selvagem","x","x","em tombamento","GR02/2013","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00003","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00004","encontrado","x",4,"x","com crânio","Carollia perspicillata (Linnaeus, 1758)","Carollia perspicillata","(Linnaeus, 1758)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Carolliinae","Carollia","x","perspicillata","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","JOVÂNIO","x","x","x","09",1984,"x","x","x.IX.1984","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Sidrolândia","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"fêmea","peso (g): 12; antebraço (mm): 41","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00004","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00005","x","x",5,"x","x","Platyrrhinus lineatus (E. Geoffroy, 1810)","Platyrrhinus lineatus","(E. Geoffroy, 1810)","Animalia","Chordata","Mammalia","Chiroptera","Phyllostomidae","Stenodermatinae","Platyrrhinus","x","lineatus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.","x","x","01","02",1988,"x","x","01.II.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","peso (g): 22; antebraço (mm): 45,2","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00005","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00006","x","x",6,"x","x","Myotis simus Thomas, 1901","Myotis simus","Thomas, 1901","Animalia","Chordata","Mammalia","Chiroptera","Vespertilionidae","Myotinae","Myotis","x","simus","x","espécie","aceito","x","x","ICZN","x","TADDEI, V. A.","x","voucher","SOUZA, L. O. I.","x","x","01","02",1988,"x","x","01.II.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)","não informado","x","peso (g): 9; antebraço (mm): 35,4","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00006","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00007","x","x",7,"x","x","Noctilio albiventris Desmarest, 1818","Noctilio albiventris","Desmarest, 1818","Animalia","Chordata","Mammalia","Chiroptera","Noctilionidae","Noctilioniae","Noctilio","x","albiventris","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SOUZA, L. O. I.","x","x","01","02",1988,"x","x","01.II.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"macho","peso (g): 10; antebraço (mm): 35,1","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00007","x"
"2017-08-31","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00008","x","x",8,"x","x","Nyctinomops laticaudatus (E. Geoffroy, 1805)","Nyctinomops laticaudatus","(E. Geoffroy, 1805)","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossinae","Nyctinomops","x","laticaudatus","x","espécie","aceito","x","x","ICZN","x","TADDEI, V. A.","x","voucher","SOUZA, L. O. I.","x","x","01","02",1988,"x","x","01.II.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Passo do Lontra","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)","não informado","x","peso (g): 9; antebraço (mm): 34,2","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00008","x"
"2017-08-31","encontrado","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CHI00009","encontrado","encontrado",9,"x","cranio perdido","Molossus rufus E. Geoffroy, 1805","Molossus rufus","E. Geoffroy, 1805","Animalia","Chordata","Mammalia","Chiroptera","Molossidae","Molossinae","Molossus","x","rufus","x","espécie","aceito","x","x","ICZN","x","SOUZA, L. O. I.","x","voucher","SILVA, H. R.","x","x","17","05",1982,"x","x","17.V.1982","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",2,"1 macho; 1 fêmea","peso (g): 25; antebraço (mm): 45,9","x","x","selvagem","x","x","em tombamento","x","x","x","Bordignon","x","Nogueira et al., 2014","br:UFMS:ZUFMS:ZUFMS-CHI00009","x"
