"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-01-04","ocultar; sem dados de coleta; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00001","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Indeterminado","x","x","x","10","x","x","x","x","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","x","x","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00002","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Kerber, B. B.","x","x","11","10","2010","x","2010-10-11","11.X.2010","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00003","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Pinhal, R. F.","x","x","24","10","2010","x","2010-10-24","24.X.2010","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","São Paulo","Ribeirão Preto","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; sem dados de coleta; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00004","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Indeterminado","x","x","x","10","x","x","x","x","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","x","x","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00005","nenhum","nenhum","Scarabaeidae Latreille, 1802","Scarabaeidae","Latreille, 1802","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","Polyphaga","Scarabaeidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Edwin","x","x","17","09","2004","x","2004-09-17","17.IX.2004","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Embrapa Gado de Corte","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00006","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Vaz-de-Mello, F. Z.","x","x","x","10","1995","x","1995-10","X.1995","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Minas Gerais","Cordisburgo","x","Fazenda Pontinha","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00007","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Kerber, B. B.","x","x","20","10","2010","x","2010-10-20","20.X.2010","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00008","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Izel, I.","x","x","21","08","1984","x","1984-08-21","21.VIII.1984","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Amazonas","Manaus","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00009","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Sato, T.","x","x","15","09","2007","x","2007-09-15","15.IX.2007","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2017-01-04","ocultar; colocar preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-COL...",6,1,"CEUFMS 00010","nenhum","nenhum","Coleoptera Linnaeus, 1758","Coleoptera","Linnaeus, 1758","Animalia","Arthropoda","Hexapoda","Insecta","Coleoptera","x","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","Indeterminado","x","voucher","Junior, L. A. M.","x","x","20","07","2007","x","2007-07-20","20.VII.2007","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","nulo","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
