"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Família","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","family","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2016-10-19","frasco antigo vazio","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CRU124","nenhum","nenhum","Dolops geayi (Bouvier, 1897)","Dolops geayi","(Bouvier, 1897)","Animalia","Arthropoda","Crustacea","Maxillopoda","Arguloida","Argulidae","Dolops","x","geayi","x","espécie","aceito","x","x","ICZN","x","Ribeiro, M. A.","1991-11-12","voucher","Ribeiro, M. A.","x","x","02","11","1991","x","x","02.XI.1991","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"macho","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","x","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00001","ARMINV 002 ZUFMS ÚMIDA","x","CRU002","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-09-19","voucher","Anjos, C. P.","x","x","07","04","1984","x","x","07.IV.1984","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Forte Coimbra","19°55'12.99""S","57°47'31.70""W","-19.920275","-57.792139","x","WGS84","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00001","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00002","ARMINV 002 ZUFMS ÚMIDA","x","CRU003","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-09-28","voucher","Froehlich, O.","x","x","28","08","1989","x","x","28.VIII.1989","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00002","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00003","ARMINV 002 ZUFMS ÚMIDA","x","CRU004","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-09-28","voucher","Froehlich, O.","x","x","23","09","1989","x","x","23.IX.1989","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Aquidauana","x","Fazenda Olhos D'Água","19°38'00""S","55°21'00""W","-19.633333","-55.350000","x","WGS84","x","x","x","x","x","x","x","animal inteiro (ETOH 70%)",1,"macho","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00003","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00004","ARMINV 002 ZUFMS ÚMIDA","x","CRU005","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-08-28","voucher","Froehlich, O.","x","x","28","08","1989","x","x","28.VIII.1989","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"macho","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00004","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00005","ARMINV 002 ZUFMS ÚMIDA","x","CRU006","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-08-28","voucher","Froehlich, O.","x","x","28","08","1989","x","x","28.VIII.1989","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","Base de Estudos do Pantanal - UFMS","19°34'00""S","57°00'00""W","-19.566667","-57.000000","x","WGS84","x",85,85,"Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00005","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00006","ARMINV 002 ZUFMS ÚMIDA","x","CRU007","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-01-28","voucher","Souza, L. O. I.","x","x","10","01","1988","x","x","10.I.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","x","x","Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","com filhotes","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00006","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00007","ARMINV 002 ZUFMS ÚMIDA","x","CRU008","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1989-08-28","voucher","Souza, L. O. I.","x","x","16","01","1988","x","x","16.I.1988","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","x","x","Rio Miranda","x","x","x","animal inteiro (ETOH 70%)",1,"fêmea","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00007","x"
"2016-10-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-CRU00008","ARMINV 002 ZUFMS ÚMIDA","x","CRU010","nenhum","nenhum","Dilocarcinus (Dilocarcinus) pagei pagei Stimpson, 1861","Dilocarcinus (Dilocarcinus) pagei pagei","Stimpson, 1861","Animalia","Arthropoda","Crustacea","Malacostraca","Decapoda","Trichodactylidae","Dilocarcinus","Dilocarcinus","pagei","pagei","subespécie","aceito","x","x","ICZN","x","Marini, A. C.","1990-08-02","voucher","Marini, A. C.","x","x","25","05","1990","x","x","25.V.1990","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Pantanal do Abobral","x","x","x","x","x","x","x","x","x","x","Baía Grande","x","x","x","animal inteiro (ETOH 70%)",2,"indeterminado","x","x","x","selvagem","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-CRU00008","x"
