"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial:shelfLocation","artificial:flaskLocation","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial:subphylum","class","order","artificial:suborder","family","artificial:subfamily","artificial:tribe","artificial:subtribe","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial:shippingGuide","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06217","nenhum","nenhum","Mycetophilidae Newman, 1834","Mycetophilidae","Newman, 1834","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Mycetophilidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06218","nenhum","nenhum","Richardiidae Snow, 1896","Richardiidae","Snow, 1896","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Richardiidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","29","05","2012","x","2012-05-29","29.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06219","nenhum","nenhum","Richardiidae Snow, 1896","Richardiidae","Snow, 1896","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Richardiidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","30","05","2012","x","2012-05-30","30.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06220","nenhum","nenhum","Richardiidae Snow, 1896","Richardiidae","Snow, 1896","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Richardiidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","31","05","2012","x","2012-05-31","31.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06221","nenhum","nenhum","Phoridae Curtis, 1833","Phoridae","Curtis, 1833","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Phoridae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06222","nenhum","nenhum","Culicidae Meigen, 1818","Culicidae","Meigen, 1818","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Culicidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06223","nenhum","nenhum","Culicidae Meigen, 1818","Culicidae","Meigen, 1818","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Culicidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06224","nenhum","nenhum","Culicidae Meigen, 1818","Culicidae","Meigen, 1818","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Nematocera","Culicidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","13","03","2012","x","2012-03-13","13.III.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
"2016-01-02","ocultar; colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-DIP...","coleção úmida","organizar","CEUFMS 06225","nenhum","nenhum","Chloropidae Rondani, 1856","Chloropidae","Rondani, 1856","Animalia","Arthropoda","Hexapoda","Insecta","Diptera","Brachycera","Chloropidae","x","x","x","x","x","x","x","família","aceito","x","indeterminado","ICZN","x","x","x","voucher","GODOI, M. N.","x","x","31","05","2012","x","2012-05-31","31.V.2012","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","verificar","verificar","indeterminado","não informado","indeterminado","não informado","selvagem","não informado","nenhuma","em restauração","x","x","x","x","nenhuma","ITIS, 2019","x","x"
