"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Caixa)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Superordem","Ordem","Subordem","Superfamília","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de Remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","artificial","order","artificial","artificial","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00001","x","x","PBQ1-33","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","vértebra parcialmente fragmentada","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00001","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00002","x","x","PBQ1-29","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso longo (ulna)","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00002","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00003","x","x","x","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso longo","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00003","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00004","x","x","PBQ1-06","x","x","Notiomastodon platensis (Ameghino, 1888)","Notiomastodon platensis","(Ameghino, 1888)","Animalia","Chordata","Vertebrata","Mammalia","Afrotheria","Proboscidea","Elephantiformes","Gomphotherioidea","Gomphotheriidae","Rhynchotheriinae","Notiomastodon","x","platensis","x","espécie","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","presa de mastodonte (filhote)","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00004","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00005","x","x","PBQ-05","x","x","Homo sapiens Linnaeus, 1758","Homo sapiens","Linnaeus, 1758","Animalia","Chordata","Vertebrata","Mammalia","Euarchontoglires","Primates","Haplorrhini","Hominoidea","Hominidae","Homininae","Homo","x","sapiens","x","espécie","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fêmur humano","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00005","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00006","x","x","PBQ-35","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fragmento de osso","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00006","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00007","x","x","PBQ-24","x","x","Megatheriidae","Megatheriidae","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Megatherioidea","Megatheriidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","cintura pélvica","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00007","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00008","x","x","PBQ-36","x","x","Mammalia","Mammalia","x","Animalia","Chordata","Vertebrata","Mammalia","x","x","x","x","x","x","x","x","x","x","classe","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","osso indeterminado","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00008","x"
"2016-03-30","nenhuma","FossilSpecimen","UFMS","ZUFMS","ZUFMS-FOS00009","x","x","BQ-20","x","x","Megatheriidae","Megatheriidae","x","Animalia","Chordata","Vertebrata","Mammalia","Xenarthra","Pilosa","Folivora","Megatherioidea","Megatheriidae","x","x","x","x","x","família","aceito","x","x","ICZN","x","OLIVEIRA, A. M.","2012","voucher","CORDEIRO, L. M.; OLIVEIRA, A. M.; BORGHEZAN, R.","x","x","x","10","2012","x","x","X.2012","direta","x","material carreado por rio subterrâneo","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Bodoquena","x","Assentamento Campina; Gruta das Fadas ","20°34'05""S","56°43'33""W","-20.568056","-56.725833",3,"WGS84","x",298,300,"lagoa","0,2",4,"x","fóssil",1,"x","x","x","x","nativo","x","fêmur","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-FOS00009","x"
