"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização na Coleção (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Infraordem","Família","Subfamília","Tribo","Subtribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"2017-01-10","x","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00200","ARMINV 006 ZUFMS SECA","GAV 115","CEUFMS 02891","x","x","Acrosternum sp.","Acrosternum","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Pentatomorpha","Pentatomidae","Pentatominae","Pentatomini","x","Acrosternum","x","x","x","gênero","aceito","x","maria-fedida","x","sp.","x","x","x","Amaral, M. E. C.","x","x","08","03","1980","x","x","08.III.1980","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Dourados","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-HEM00200","x"
"2017-01-10","conferir se o coletor é M. E. C. ou R. E. C. ","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00137","ARMINV 006 ZUFMS SECA","GAV 115","CEUFMS 02882","x","x","Apiomerus sp.","Apiomerus","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Cimicomorpha","Reduviidae","Harpactorinae","Apiomerini","x","Apiomerus","x","x","x","gênero","aceito","x","x","x","sp.","x","x","x","Amaral, M. E. C.","x","x","21","12","1979","x","x","21.XII.1979","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Dourados","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-HEM00137","x"
"2018-07-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00237","ARMINV 006 ZUFMS SECA","GAV 115","nenhum","ZUFMS-AMP11068","predador de Dendropsophus minutus","cf. Belostoma sp. Latreille, 1807","Belostoma","Latreille, 1807","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Nepomorpha","Belostomatidae","Belostomatinae","x","x","Belostoma","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","Oliveira, A. F.","2018-07-05","x","SILVA, L.A., FADEL, R.M., FOLLY, H., THALER, R.","x","x","23","05","2018","x","2018-05-23","23.V.2018","busca ativa noturna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Tocantins","Caseara","x","Lagoa das predações","9°24'51.9""S","49°57'46.6""W","-9.414411","-49.962942","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","adulto","não informado","selvagem","predando","nenhuma","em tombamento","x","x","x","Nota de Predação de Renata Fadel e Sarah Mângia","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-HEM00237","x"
"2018-07-19","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00238","ARMINV 003 ZUFMS ÚMIDA","ZUFMS HEXAPODA P001","nenhum","ZUFMS-AMP11072","predador de Leptodactylus pustulatus","cf. Belostoma sp. Latreille, 1807","Belostoma","Latreille, 1807","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Heteroptera","Nepomorpha","Belostomatidae","Belostomatinae","x","x","Belostoma","x","x","x","gênero","aceito","x","indeterminado","ICZN","sp.","Oliveira, A. F.","2018-07-05","x","SILVA, L.A., FADEL, R.M., GALVÃO, C., HOFFMAN, M.","x","x","23","01","2018","x","2018-01-23","23.I.2018","busca ativa noturna","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Tocantins","Caseara","x","Lagoa da sucuri","9°24'56.4""S","49°58'28.3""W","-9.415675","-49.974534","nulo","WGS84","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","imaturo","não informado","selvagem","predando","nenhuma","em tombamento","x","x","x","Nota de Predação de Renata Fadel e Sarah Mângia","nenhuma","x","br:UFMS:ZUFMS:ZUFMS-HEM00238","x"
"2017-01-10","x","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00073","ARMINV 006 ZUFMS SECA","GAV 116","CEUFMS 00273","x","x","Carineta diardi (Guérin-Méneville, 1829)","Carineta diardi","(Guérin-Méneville, 1829)","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Cicadomorpha","Cicadidae","Cicadettinae","Carinetini","Carinetiina","Carineta","x","diardi","x","espécie","aceito","x","x","x","x","Nacasato, D. P.","2014-08-18","x","Vera, A.","x","x","19","10","2006","x","x","19.X.2006","x","x","x","x","América do Sul","Paraguai","PRY","x","Paraguarí","Ybycuí","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"x","x","adulto","x","x","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-HEM00073","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09780","x","x","Ceresa sp.","Ceresa","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Auchenorrhyncha","Cicadomorpha","Membracidae","Smiliinae","Ceresini ","x","Ceresa ","x","x","x","gênero","aceito","x","x","x","sp.","x","x","x","Aline, G.; Aline, S.; Ana Paula; Mariana & Patrícia","x","x","29","09","2004","x","x","29.IX.2004","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande ","x","Universidade Federal do Mato Grosso do Sul","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09779","x","x","Ceresa sp.","Ceresa","x","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Auchenorrhyncha","Cicadomorpha","Membracidae","Smiliinae","Ceresini ","x","Ceresa ","x","x","x","gênero","aceito","x","x","x","sp.","x","x","x","Tera, J.","x","x","15","07","2007","x","x","15.VII.2007","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Campo Grande ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09682","x","x","Dichelops (Neodichelops) phoenix Grazia, 1978","Dichelops (Neodichelops)","Grazia, 1978","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Pentatomorpha","Pentatomidae","Pentatominae","Carpocorini","x","Dichelops","Neodichelops","phoenix","x","espécie","aceito","x","x","x","x","x","x","x","Amaral, M. E. C.","x","x","06","03","1980","x","x","06.III.1980","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Dourados ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","colocar tipo de preparação e número de indivíduos","PreservedSpecimen","UFMS","ZUFMS","x","x","x","CEUFMS 09681","x","x","Doldina carinulata Stål, 1859","Doldina carinulata","Stål, 1859","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera ","Heteroptera","Cimicomorpha","Reduviidae","Harpactorinae","Harpactorini","x","Doldina ","x","carinulata ","x","espécie","aceito","x","x","x","x","x","x","x","Amaral, M. E. C.","x","x","13","01","1980","x","x","13.I.1980","x","x","x","x","América do Sul","Brasil ","BRA","x","Mato Grosso do Sul","Dourados ","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-01-10","x","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-HEM00193","ARMINV 006 ZUFMS SECA","GAV 116","CEUFMS 02880","x","x","Dorisiana viridis (Olivier, 1790)","Dorisiana viridis","(Olivier, 1790)","Animalia","Arthropoda","Hexapoda","Insecta","Hemiptera","Auchenorrhyncha","Cicadomorpha","Cicadidae","Cicadinae","Fidicinini","Guyalnina","Dorisiana","x","viridis","x","espécie","aceito","x","cigarra","x","x","Martinelli, N. M.","2006","x","Aoki, C.","x","x","16","10","2006","x","x","16.X.2006","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","Universidade Federal de Mato Grosso do Sul","20°29'59.4""S","54°36'42.4""W","-20.499833","-54.611778","x","WGS84","x","x","x","x","x","x","x","animal inteiro (alfinetado)",1,"macho","x","adulto","x","x","x","x","em coleção","x","x","x","x","x","x","br:UFMS:ZUFMS:ZUFMS-HEM00193","x"
