"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00001","organizar","organizar","MAM00001","nenhum","nenhum","Chrysocyon brachyurus (Illiger, 1815)","Chrysocyon brachyurus","(Illiger, 1815)","Animalia","Chordata","Mammalia","Carnivora","Canidea","Caninae","Chrysocyon","x","brachyurus","x","espécie","aceito","x","indeterminado","ICZN","x","BORDIGNON, M.","2013-04-11","voucher","BORDIGNON, M. O.; FERNANDES, E.","x","x","11","04","2013","x","2013-04-11","11.IV.2013","atropelamento","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Terenos","x","BR-262","20°26'44.56""S","55°08'31.4""W","-20.445711","-55.142056","nulo","WGS84","x","nulo","nulo","não informado","nulo","nulo","nenhuma","crânio (osteotécnica)",1,"indeterminado","não informado","juvenil","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00001","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00002","organizar","organizar","MAM00002","nenhum","nenhum","Calomys Waterhouse, 1837","Calomys","Waterhouse, 1837","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodontinae","Calomys","x","x","x","gênero","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -6/92","x","11","03","1992","x","1992-03-11","11.III.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","empréstimo","GR26/2019 (devolvido parcialmente)","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00002","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00003","organizar","organizar","MAM00003","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -18/92","x","07","02","1992","x","1992-02-07","07.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00003","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00004","organizar","organizar","MAM00004","nenhum","nenhum","Nectomys squamipes (Brants, 1827)","Nectomys squamipes","(Brants, 1827)","Animalia","Chordata","Mammalia","Rodentia","Cricetidae","Sigmodontinae","Nectomys","x","squamipes","x","espécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -35/92","x","22","09","1992","x","1992-09-22","22.IX.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00004","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00005","organizar","organizar","MAM00005","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","x","x","27","02","1992","x","1992-02-27","27.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00005","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00006","organizar","organizar","MAM00006","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -14/92","x","27","02","1992","x","1992-02-27","27.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00006","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00007","organizar","organizar","MAM00007","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -10/92","x","22","02","1992","x","1992-02-22","22.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00007","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00008","organizar","organizar","MAM00008","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -11/92","x","24","02","1992","x","1992-02-24","24.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"macho","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00008","x"
"2017-09-05","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-MNV00009","organizar","organizar","MAM00009","nenhum","nenhum","Rattus rattus frugivorus Rafinesque, 1814","Rattus rattus frugivorus","Rafinesque, 1814","Animalia","Chordata","Mammalia","Rodentia","Muridae","Murinae","Rattus","x","rattus","frugivorus","subespécie","aceito","x","indeterminado","ICZN","x","x","x","voucher","x","RSBS -11/92","x","07","02","1992","x","1992-02-07","07.II.1992","não informado","Cerrado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corguinho","x","Croa","x","x","x","x","nulo","x","x","nulo","nulo","não informado","nulo","nulo","nenhuma","pele (taxidermia)",1,"fêmea","não informado","adulto","indeterminado","selvagem","não informado","nenhuma","em coleção","x","x","x","x","nenhuma","ITIS, 2019","br:UFMS:ZUFMS:ZUFMS-MNV00009","x"
