"Data da Última Modificação","Informação Retida","Base do Registro","Código da Institução","Código da Coleção","Número de Catálogo","Localização na Coleção - Armário","Localização no Armário - Gaveta","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","artificial","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...",6,66,"CEUFMS 04898","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","21","10",2011,"x","x","21.X.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06323","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","29","05",2012,"x","x","29.V.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06324","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","29","05",2012,"x","x","29.V.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06325","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","01","06",2012,"x","x","01.VI.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06326","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","01","06",2012,"x","x","01.VI.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06327","x","x","Chrysopidae","Chrysopidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Chrysopidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","31","05",2012,"x","x","31.V.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06328","x","x","Sisynidae","Sisynidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Sisynidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","13","03",2012,"x","x","13.III.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2017-04-04","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU...","coleção úmida","x","CEUFMS 06329","x","x","Sisynidae","Sisynidae","x","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","x","Sisynidae","x","x","x","x","x","família","x","x","x","x","x","x","x","x","Godoi, M. N.","x","x","13","03",2012,"x","x","13.III.2012","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'57.70""S","56°30'58.40""W","-20.982694","-56.516222","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x","x"
"2021-11-01","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-NEU00001","organizar","individual","nenhum","nenhum","nenhum","Myrmeleontidae Latreille, 1803","Myrmeleontidae","Latreille, 1803","Animalia","Arthropoda","Hexapoda","Insecta","Neuroptera","Myrmeleontiformia","Myrmeleontidae","x","x","x","x","x","família","aceito","x","formiga-leão","ICZN","x","ANTÔNIO-SILVA, L.","2019-10-18","voucher","LUCON, T. N.","MS043","x","12","06","2019","0,666666666666667","2019-06-12","12.VI.2019","busca ativa","Mata seca associada a afloramento calcário","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bodoquena","x","Serra das Três Cruzes","20°32'25.63""S","56°44'12.27""W","-20.540454","-56.736742",10,"SIRGAS2000","GPS: 020°30'00""S--020°33'00""S/056°44'56""W--056°41'57""W",285,285,"nenhum","nulo","nulo","coletado no Abrigo MS60","animal inteiro (ETOH 70%)",1,"indeterminado","não informado","juvenil","não reprodutivo","selvagem","forrageando","nenhuma","em coleção","x","LIMA, Tatiane do N. & FARIA, Rogério R. Seleção de Microhabitat por Larvas de Formiga-Leão Myrmeleon brasiliensis (Návas) (Neuroptera: Myrmeleontidae), em uma Reserva Florestal, Aquidauana, MS. Neotropical Entomology 36(5):812-814 (2007).","x","Projeto Filitos Sul, InterCement Brasil S.A ","nenhuma","ITIS, 2021","x","x"
