"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Armário)","Localização no Armário (Gaveta/Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Subfilo","Classe","Ordem","Subordem","Família","Subfamília","Tribo","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","artificial","class","order","artificial","family","artificial","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00529","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","BONFIETTI, L. X.","x","voucher","BONFIETTI, L. X.","x","x","03","10","2005","x","2005-10-03","03.X.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","estava marcado como Phasmantodea, mas é Orthoptera?","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00496","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","BONFIETTI, L. X.","x","voucher","BONFIETTI, L. X.","x","x","18","10","2005","x","2005-10-18","18.X.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00490","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","SOARES, M. A. A.","x","x","03","05","2005","x","2005-05-03","03.V.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00506","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","CILVA, C. L.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00513","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","CILVA, C. L.","x","voucher","CILVA, C. L.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","Passo do Lontra","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00509","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T. A.","x","x","11","08","2005","x","2005-08-11","11.VIII.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00511","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T. A.","x","x","11","08","2005","x","2005-08-11","11.VIII.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00501","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","COLMAN, T. A.","x","voucher","COLMAN, T.","x","x","21","09","2005","x","2005-09-21","21.IX.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Campo Grande","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
"2017-09-07","ocultar","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-ORT...",6,7,"CEUFMS 00505","nenhum","nenhum","Orthoptera Olivier, 1789","Orthoptera","Olivier, 1789","Animalia","Arthropoda","Hexapoda","Insecta","Orthoptera","x","x","x","x","x","x","x","x","ordem","aceito","x","indeterminado","ICZN","x","DIAS, F. F.","x","voucher","DIAS, F. F.","x","x","12","06","2005","x","2005-06-12","12.VI.2005","não informado","não informado","nenhuma","nenhuma","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","x","x","x","x","x","x","x","x","nulo","nulo","nenhum","nulo","nulo","nenhuma","animal inteiro (alfinetado)",1,"indeterminado","não informado","não informado","não informado","selvagem","não informado","nenhuma","em tombamento","x","x","x","x","nenhuma","Cigliano et al., 2020","x","x"
