"Data da Última Modificação","Informação Retida","Base do Registro","Código da Instituição","Código da Coleção","Número de Catálogo","Localização na Coleção (Prateleira)","Localização na Coleção (Frasco)","Número de Catálogo Anterior","Item Relacionado ao Catálogo","Tipo de Relacionamento","Nome Científico Aceito","Nome Científico","Autor do Nome Científico","Reino","Filo","Classe","Ordem","Superfamília","Família","Subfamília","Gênero","Subgênero","Epíteto Específico","Epíteto Infraespecífico","Nível do Táxon","Status Taxonômico","Nome Original Usado","Nome Vulgar","Código Nomenclatural","Imprecisão","Determinado Por","Data da Determinação","Tipo Nomenclatural","Coletor","Número da Etiqueta de Campo","Número do Campo","Dia da Coleta","Mês da Coleta","Ano da Coleta","Hora/Intervalo do Evento","Data/Intervalo do Evento","Data Coleta Textual","Método de Coleta","Habitat","Observações do Evento","Anotações de Campo","Continente/Oceano","País","Código do País","Bacia Hidrográfica","Estado/Província/Região","Município","Sub-Região/Distrito","Localidade","Latitude","Longitude","Latitude Decimal","Longitude Decimal","Precisão da Coordenada (m)","Datum","Retângulo Envolvente","Altitude Mínima (m)","Altitude Máxima (m)","Corpo D'Água","Profundidade Mínima (m)","Profundidade Máxima (m)","Observações do Local","Tipo de Preparação","Número de Indivíduos","Sexo","Medidas","Fase da Vida","Condição Reprodutiva","Modo de Estabelecimento","Comportamento","Observações de Ocorrência","Disposição","Guia de remessa","Referências Associadas","Citação Bibliográfica","Nome do Conjunto de Dados","Mídia Associada","Sistema de Classificação","ID da Ocorrência","Identificações Anteriores"
"dcterms:modified","informationWithheld","basisOfRecord","institutionCode","collectionCode","catalogNumber","artificial","artificial","otherCatalogNumbers","associatedOccurrences","relationshipOfResource","acceptedNameUsage","scientificName","scientificNameAuthorship","kingdom","phylum","class","order","artificial","family","artificial","genus","subgenus","specificEpithet","infraspecificEpithet","taxonRank","taxonomicStatus","originalNameUsage","vernacularName","nomenclaturalCode","identificationQualifier","identifiedBy","dateIdentified","typeStatus","recordedBy","recordNumber","fieldNumber","day","month","year","eventTime","eventDate","verbatimEventDate","samplingProtocol","habitat","eventRemarks","fieldNotes","continent","country","countryCode","verbatimLocality","stateProvince","county","municipality","locality","verbatimLatitude","verbatimLongitude","decimalLatitude","decimalLongitude","coordinatePrecision","geodeticDatum","footprintWKT","minimumElevationInMeters","maximumElevationInMeters","waterBody","minimumDepthInMeters","maximumDepthInMeters","locationRemarks","preparations","individualCount","sex","measurementRemarks","lifeStage","reproductiveCondition","establishmentMeans","behavior","occurrenceRemarks","disposition","artificial","associatedReferences","dcterms:bibliographicCitation","datasetName","associatedMedia","nameAccordingTo","occurrenceID","previousIdentifications"
"2017-10-18","conferir número de indivíduos, identificação","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00001","ARMINV 004 ZUFMS ÚMIDA","indeterminados; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","x","x","x","Animalia","Platyhelminthes","Trematoda","Strigeidida","Diplostomoidea","x","x","x","x","x","x","superfamília","aceito","x","x","ICZN","x","Campião, K.","x","voucher","Campião, K. et al.","AMP3013","x","03","02","2011","x","x","03.II.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","lote de animais inteiros (ETOH 70%)",7,"x","x","x","x","x","x","parasita de Scinax nasicus (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00001","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00002","ARMINV 004 ZUFMS ÚMIDA","PLAF; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Catadiscus sp.","Catadiscus","x","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Paramphistomoidea","Paramphistomidae","Paramphistominae","Catadiscus","x","x","x","gênero","aceito","x","x","ICZN","sp.","Campião, K.","x","voucher","Campião, K. et al.",15,"x","03","02","2011","x","x","03.II.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","lote de animais inteiros (ETOH 70%)",3,"x","x","x","x","x","x","parasita de Pseudis paradoxa (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00002","x"
"2017-10-18","conferir número de indivíduos, nome científico","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00003","ARMINV 004 ZUFMS ÚMIDA","PLAA; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Neascus sp.","Neascus","x","Animalia","Platyhelminthes","Trematoda","Strigeidida","Diplostomoidea","Diplostomatidae","Crassiphialinae","Neascus","x","x","x","gênero","aceito","x","x","ICZN","sp.","Campião, K.","x","voucher","Campião, K. et al.",50,"x","03","02","2011","x","x","03.II.2011","x","x","x","metacercária do tipo Neascus","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","lote de animais inteiros (ETOH 70%)",7,"x","x","metacercária","x","x","x","parasita de Leptodactylus chaquensis (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00003","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00004","ARMINV 004 ZUFMS ÚMIDA","PLAB; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Glypthelmins palmipedis (Lutz, 1928)","Glypthelmins palmipedis","(Lutz, 1928)","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Plagiorchiidae","Plagiorchiinae","Glypthelmins","x","palmipedis","x","espécie","aceito","x","x","ICZN","x","Campião, K.","x","voucher","Campião, K. et al.",13,"x","03","02","2011","x","x","03.II.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","lote de animais inteiros (ETOH 70%)",2,"x","x","x","x","x","x","parasita de Pseudis paradoxa (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00004","x"
"2017-10-18","conferir número de indivíduos, nome científico","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00005","ARMINV 004 ZUFMS ÚMIDA","PLAC; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Diplostomulum sp.","Diplostomulum","x","Animalia","Platyhelminthes","Trematoda","Strigeidida","Diplostomoidea","Diplostomatidae","Diplostominae","Diplostomulum","x","x","x","gênero","aceito","x","x","ICZN","sp.","Campião, K.","x","voucher","Campião, K. et al.",69,"x","03","02","2011","x","x","03.II.2011","x","x","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x","x","x","x","x","x","x","lote de animais inteiros (ETOH 70%)",16,"x","x","x","x","x","x","parasita de Leptodactylus podicipinus (Amphibia: Leptodactylidae)","em coleção","x","x","x","material estudado por Karla Campião","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00005","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00006","ARMINV 004 ZUFMS ÚMIDA","PLAD; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Mesocoelium monas (Rudolphi, 1819)","Mesocoelium monas","(Rudolphi, 1819)","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Plagiorchioidea","Brachycoeliidae","Brachycoeliinae","Mesocoelium","x","monas","x","espécie","aceito","x","x","ICZN","x","Silva, I. C. O. ","2016","voucher","Silva, I. C. O. ","x","x","11","02","2016","08:00:00","x","11.II.2016","necropsia","Cerrado","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'49""S","56°30'32""W","-20.980278","-56.508889",10,"WGS84","x",300,443,"x","1,5",2,"água corrente","animal inteiro (ETOH 70%)",1,"hermafrodita","x","adulto","x","x","x","parasita de Scinax fuscovarius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00006","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00007","ARMINV 004 ZUFMS ÚMIDA","PLAE; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Neascus sp.","Neascus","x","Animalia","Platyhelminthes","Trematoda","Strigeidida","Diplostomoidea","Diplostomatidae","Crassiphialinae","Neascus","x","x","x","gênero","aceito","x","x","ICZN","sp.","Silva, I. C. O. ","2016","voucher","Silva, I. C. O. ","x","x","11","02","2016","08:00:00","x","11.II.2016","necropsia","Cerrado","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'49""S","56°30'32""W","-20.980278","-56.508889",10,"WGS84","x",300,443,"x","1,5",2,"água corrente","lote de animais inteiros (ETOH 70%)",2,"x","x","juvenil","x","x","x","parasita de Scinax fuscovarius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00007","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00008","ARMINV 004 ZUFMS ÚMIDA","Indeterminados; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","x","x","x","Animalia","Platyhelminthes","Cestoda","Proteocephalidea","x","x","x","x","x","x","x","ordem","aceito","x","x","ICZN","x","Silva, I. C. O. ","2016","voucher","Silva, I. C. O. ","x","x","11","02","2016","08:00:00","x","11.II.2016","necropsia","Cerrado","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Bonito","x","Estância Mimosa Ecoturismo","20°58'49""S","56°30'32""W","-20.980278","-56.508889",10,"WGS84","x",300,443,"x","1,5",2,"água corrente","animal inteiro (ETOH 70%)",1,"x","x","juvenil","x","x","x","parasita de Scinax fuscovarius (Amphibia: Hylidae)","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00008","x"
"2017-10-18","nenhuma","PreservedSpecimen","UFMS","ZUFMS","ZUFMS-PLA00009","ARMINV 004 ZUFMS ÚMIDA","PLAF; ZUFMS PARASITOS P001","nenhum","nenhum","nenhum","Catadiscus sp.","Catadiscus","x","Animalia","Platyhelminthes","Trematoda","Plagiorchiida","Paramphistomoidea","Paramphistomidae","Paramphistominae","Catadiscus","x","x","x","gênero","aceito","x","x","ICZN","x","Silva, I. C. O. ","2016","voucher","Silva, I. C. O. ","x","x","17","02","2012","08:00:00","x","17.II.2012","necropsia","Pantanal","x","x","América do Sul","Brasil","BRA","x","Mato Grosso do Sul","Corumbá","x","Fazenda Alegria","18°59'S","56°39'W","-18.983333","-56.650000","x","WGS84","x",89,106,"x","x","x","x","animal inteiro (ETOH 70%)",1,"hermafrodita","x","adulto","x","x","x","nenhuma","em coleção","x","x","x","material estudado por Isabela Caroline Oliveira da Silva","nenhuma","NCBI, 2017","br:UFMS:ZUFMS:ZUFMS-PLA00009","x"
